"page_name","message"
"CNN","""The banned books engage their readers with a diversity of ideas and minority viewpoints, including with respect to race, gender, and sexual identity,"" the ACLU argues in the class action lawsuit."
"Breitbart","Adele proclaimed, ""We love being f**king females"" after coming under attack and being accused of transphobia for saying that she loves ""being a woman"" at the sex-neutral Brit Awards."
"Breitbart","""Crack cocaine and meth, whether you smoke it or inject it, will kill you. It doesn’t matter what color you are or what your gender is. Now, look — stupidity is a lot like pornography. It’s very hard to define, but you know it when you see it. This is stupidity.”"
"CNN","The White House on Tuesday condemned Republicans for advancing a controversial Florida bill that would ban certain discussions about sexual orientation and gender identity in the classroom, calling it part of a larger trend of GOP leaders across the country taking actions to treat students like political pawns."
"CNN","Florida Gov. Ron DeSantis appeared to voice support for a controversial state bill that would ban certain discussions about sexual orientation and gender identity in the classroom."
"CNN","US figure skaters Ashley Cain-Gribble and Timothy LeDuc bring a different story to the ice -- one based on equality. The pair stands out in their discipline, one rooted in traditional gender norms, through their performances and skating style https://cnn.it/3HyBr6R:=:https://www.cnn.com/2022/02/04/sport/ashley-cain-gribble-timothy-leduc-figure-skating-beijing-winter-olympics-spt-intl/index.html"
"CNN","Transgender women and girls in South Dakota will not be able to compete on sports teams consistent with their gender at accredited schools and colleges after the state's GOP governor enacted a ""fairness in women's sports"" law on Thursday."
"Breitbart","Florida parents have filed a lawsuit against Clay County Schools, claiming their 12-year-old daughter attempted suicide after having weekly meetings for months with a school counselor who affirmed her identity as a boy without the parents’ knowledge."
"Breitbart","""This is a hard woke left administration."""
"CNN","Florida state lawmakers advanced a bill that would prohibit some schools from ""encouraging"" conversations about sexual orientation and gender identity in classrooms with young students."
"CNN","A bill backed by Republican Gov. Ron DeSantis that would prohibit Florida's public schools and private businesses from making people feel ""discomfort"" or ""guilt"" based on their race, sex or national origin received first approval by the state's Senate Education Committee."
"CNN","Johnson's Biden then explained this virus has disrupted our lives, the holidays, gender reveal parties and ""wildfires that started as gender reveal parties."" https://cnn.it/3rlIqsT:=:https://www.cnn.com/2022/01/16/media/snl-cold-open-joe-biden-omicron/index.html"
"CNN","Johnson's Biden then explained this virus has disrupted our lives, the holidays, gender reveal parties and ""wildfires that started as gender reveal parties."""
"Breitbart","That settles it. The New York Times hath spoken. End of discussion."
"Breitbart","TikTok is promoting the hashtag #transgender to congregate videos about gender reassignment surgery and other topics, including how women living as men will feel better about menstruation if products are in masculine packaging."
